Unnamed: 0,Countries,ISO3,Region,SIDS,LDCs,# RP,# FA,RP Financing $,FA Financing $,Adaptation,Mitigation,Crosscutting,AdaptationMitigationRatio,Ambition Category,Ambition,CO2BIP,1990,2010,2019,2025 upper,2025 lower,2030 upper,2030 lower,GRadUn,GradCon,Total Change 2019-2030 Upper (%),Total Change 2019-2030 Lower (%),AvgChange%
68,Mauritania,MRT,Africa,False,True,4,7,3970214.0,61322058.15,13355526.31578947,35759313.87627976,20202301.68307692,0.2719244583421457,Erhöhte Ambition,1.0,0.29204124,4.2,7.9,11.5,14.5,7.0,17.5,3.4,1.2,1.2,52.17,-70.43,-9.13
69,Mauritius,MUS,Africa,True,False,7,6,2943380.0,84991222.73,22691996.5,33473157.89473684,22732198.14241486,0.4040226853204633,Erhöhte Ambition,1.0,0.14554963,2.3,5.2,6.2,6.9,5.3,7.4,4.5,2.3,1.2,19.35,-27.42,-4.03
70,Mexico,MEX,Latin America and the Caribbean,False,False,7,12,2212103.5,164809342.13,49019607.84313725,23168072.06056548,84043831.16961038,0.6790578102597099,Erhöhte Ambition,1.0,0.22884186,481.6,698.6,714.1,805.6,729.9,882.0,743.2,2.7,2.1,23.51,4.08,13.79
71,Republic of Moldova,MDA,Eastern Europe,False,False,3,3,3274784.81,48748437.5,0.0,0.0,63254059.82905982,,Erhöhte Ambition,1.0,0.2429948,28.6,9.9,11.3,12.5,8.1,13.4,5.4,5.1,1.6,18.58,-52.21,-16.81
72,Mongolia,MNG,Asia-Pacific,False,False,9,13,6000633.0,483898524.39,23101276.0,70567310.89473684,409058153.3963113,0.2466277838264051,Erhöhte Ambition,1.0,0.96887475,24.0,26.5,56.0,58.6,56.7,60.8,57.3,5.1,5.1,8.57,2.32,5.45
73,Montenegro,MNE,Eastern Europe,False,False,4,2,3264922.0,4011985.0,0.0,4011904.761904762,0.0,0.0,Erhöhte Ambition,1.0,0.18713303,5.5,4.2,3.8,3.6,3.6,3.5,3.5,,,-7.89,-7.89,-7.89
74,Morocco,MAR,Africa,False,False,11,16,5520126.05,318488329.55,59802083.32666666,46136491.22807018,176164585.5482948,0.5644977155678816,Erhöhte Ambition,1.0,0.22302076,39.8,94.1,105.1,106.8,85.4,108.2,69.1,1.4,1.2,2.95,-34.25,-15.65
75,Mozambique,MOZ,Africa,False,True,7,8,3335293.0,53944485.0,47915441.17647059,7345238.095238095,4062500.0,0.8670802061783817,Erhöhte Ambition,1.0,0.26582026,20.8,30.2,45.3,64.3,64.3,86.9,86.9,1.2,1.2,91.83,91.83,91.83
76,Myanmar,MMR,Asia-Pacific,False,True,7,2,5708442.0,4011985.0,0.0,4011904.761904762,0.0,0.0,Erhöhte Ambition,1.0,0.10147809,31.3,57.3,85.9,85.6,81.2,87.2,79.1,,,1.51,-7.92,-3.2
77,Namibia,NAM,Africa,False,False,7,10,5293624.0,124385125.65,51059526.31578948,51428571.42857143,36239961.3003096,0.4981995708725979,Keine höhere Ambition,0.0,0.18687484,12.5,14.0,12.0,10.6,9.8,9.5,7.9,1.3,1.2,-20.83,-34.17,-27.5
78,Nepal,NPL,Asia-Pacific,False,True,5,4,5523863.0,112106553.74,0.0,21128224.0,90978329.71428572,0.0,Keine höhere Ambition,0.0,0.16765305,24.8,36.8,51.1,54.6,54.6,64.6,64.6,1.2,1.2,26.42,26.42,26.42
79,Nicaragua,NIC,Latin America and the Caribbean,False,False,12,2,5352124.2,27134622.29,27114285.71428571,0.0,0.0,1.0,Erhöhte Ambition,1.0,0.16164093,10.8,15.6,20.7,27.1,27.1,34.6,34.6,5.1,5.1,67.15,67.15,67.15
80,Niger,NER,Africa,False,True,8,11,4802833.39,125222216.38,11558152.865,42337686.89270834,77599522.52307692,0.2144535258558045,Keine höhere Ambition,0.0,0.10886761,6.2,18.8,29.0,39.9,39.9,54.6,54.6,1.2,1.2,88.28,88.28,88.28
81,Nigeria,NGA,Africa,False,False,6,16,4863510.15,196945307.54,25522192.98245614,52520300.7518797,71952941.77156833,0.3270294394914666,Erhöhte Ambition,1.0,0.11597548,151.9,295.6,343.7,362.9,294.1,380.2,254.0,1.2,1.2,10.62,-26.1,-7.74
82,North Macedonia,MKD,Eastern Europe,False,False,5,6,4462686.0,61508589.16,0.0,4011904.761904762,63561383.06168608,0.0,Erhöhte Ambition,1.0,0.24773419,19.8,13.1,13.0,9.2,9.2,6.1,6.1,1.5,1.5,-53.08,-53.08,-53.08
83,Oman,OMN,Asia-Pacific,False,False,5,0,5232600.4,,,,,,Erhöhte Ambition,1.0,0.43193498,36.1,90.2,128.2,142.5,142.5,154.3,154.3,5.1,5.1,20.36,20.36,20.36
84,Pakistan,PAK,Asia-Pacific,False,False,8,10,5687820.0,304227118.0,191870835.1428571,59000000.0,46500000.0,0.7648192147708093,Erhöhte Ambition,1.0,0.16972129,203.8,382.2,528.9,540.1,540.1,600.8,600.8,1.7,1.2,13.59,13.59,13.59
85,Panama,PAN,Latin America and the Caribbean,False,False,11,11,7531023.62,128799251.9,34467226.8907563,54550754.76190476,52573934.83756892,0.3871939831802056,Keine höhere Ambition,0.0,0.1198317,6.9,14.6,18.5,25.9,24.5,31.9,29.4,5.0,5.0,72.43,58.92,65.68
86,Paraguay,PRY,Latin America and the Caribbean,False,False,9,6,3669914.0,146376970.61,0.0,101316627.7777778,47282598.22222222,0.0,Erhöhte Ambition,1.0,0.12448515,23.5,36.1,42.8,57.4,55.2,72.4,65.5,2.4,1.7,69.16,53.04,61.1
87,Peru,PER,Latin America and the Caribbean,False,False,13,12,5805625.28,200299593.5,69515048.49666667,55906345.07643849,86784172.93233083,0.5542519223895244,Erhöhte Ambition,1.0,0.16036455,55.1,87.7,102.8,110.1,93.8,116.2,86.4,1.9,1.3,13.04,-15.95,-1.46
88,Philippines,PHL,Asia-Pacific,False,False,6,10,2662942.0,171076410.16,17351983.44647059,65263157.89473684,79048819.0225564,0.210033937662897,Erhöhte Ambition,1.0,0.14278303,112.4,181.4,255.8,285.0,81.9,335.0,-58.4,1.3,1.2,30.96,-122.83,-45.93
89,Rwanda,RWA,Africa,False,True,9,14,5753838.0,242340014.65,71767978.98245615,7345238.095238095,173490118.0,0.9071553608036873,Erhöhte Ambition,1.0,0.054125633,4.0,6.3,7.6,9.3,7.9,10.9,8.2,1.2,1.2,43.42,7.89,25.66
